SG_UF,2005,2007,2009,2011,2013,2015,2017,2019,2021,2023,ETAPA
PI,"2,3","2,5","2,7","2,9",3,"3,2","3,3","3,7",4,"4,3",Ensino Médio
PR,5,"5,2","5,2","5,2","6,2","6,2","6,3","6,8","7,1","7,1",Anos Iniciais
PR,"3,3",4,"4,1",4,"4,1","4,3","4,6","5,1","5,2","5,4",Anos Finais
PR,"3,3","3,7","3,9","3,7","3,4","3,6","3,7","4,4","4,6","4,7",Ensino Médio
RJ,"3,7","3,8",4,"4,3","4,7","5,1","4,8","5,4","5,3","5,8",Anos Iniciais
RJ,"2,9","2,9","3,1","3,2","3,6","3,7","3,7","3,9","4,5","3,8",Anos Finais
RJ,"2,8","2,8","2,8","3,2","3,6","3,6","3,3","3,5","3,9","3,3",Ensino Médio
RN,"2,6",3,"3,5","3,7","3,9","4,5","4,6","4,9","4,7",5,Anos Iniciais
RN,"2,6","2,7","2,9","2,9","3,1","3,2","3,3","3,6","3,9","3,7",Anos Finais
RN,"2,6","2,6","2,8","2,8","2,7","2,8","2,9","3,2","2,8","3,2",Ensino Médio
RO,"3,6",4,"4,4","4,7","5,4","5,7","6,1","5,7","5,6","5,8",Anos Iniciais
RO,"3,2","3,3","3,4","3,5","3,7",4,"4,9","4,8","4,8","4,7",Anos Finais
RO,3,"3,1","3,7","3,3","3,4","3,3","3,8",4,"3,9",4,Ensino Médio
RR,"3,5","3,5","4,2","4,5","4,8","5,1",-,-,-,-,Anos Iniciais
RR,"3,2","3,5","3,7","3,6","3,5","3,7",4,"4,1","4,6","4,2",Anos Finais
RR,"3,2","3,1","3,5","3,5","3,2","3,4","3,3","3,5","3,7","3,6",Ensino Médio
RS,"4,2","4,5","4,8","5,1","5,5","5,5","5,7","5,8","5,9","5,8",Anos Iniciais
RS,"3,5","3,7","3,8","3,8","3,9",4,"4,3","4,4",5,"4,7",Anos Finais
RS,"3,4","3,4","3,6","3,4","3,7","3,3","3,4",4,"4,1","3,9",Ensino Médio
SC,"4,3","4,7",5,"5,7","5,7","5,9",6,"5,9","6,1","5,8",Anos Iniciais
SC,"4,1","4,1","4,2","4,7","4,1","4,7","4,8","4,5","4,8","4,6",Anos Finais
SC,"3,5","3,8","3,7",4,"3,6","3,4","3,6","3,8","3,6","3,8",Ensino Médio
SE,3,"3,4","3,7","3,9","4,1","4,3","4,7",5,"5,2","5,3",Anos Iniciais
SE,"2,9","2,9","2,7","2,9","2,7","2,9","3,5","3,6","4,5","4,2",Anos Finais
